序号	单词	次数	列	行	频度
405	self-evident	1	15	28	0.001848
406	selfhood	1	11	122	0.001848
407	sense	1	6	3	0.001848
408	shadow	1	3	11	0.001848
409	shake	1	8	98	0.001848
410	shall	5	11	12	0.009242
411	signed	1	3	15	0.001848
412	signing	1	6	34	0.001848
413	signs	1	11	129	0.001848
414	sing	3	22	20	0.005545
415	sisters	1	19	42	0.001848
416	sit	1	16	29	0.001848
417	situation	1	13	37	0.001848
418	sixty-three	1	8	37	0.001848
419	skin	1	18	23	0.001848
420	slaveowners	1	16	24	0.001848
421	slaves	2	3	34	0.003697
422	slopes	1	25	7	0.001848
423	slums	1	13	26	0.001848
424	smaller	1	11	102	0.001848
425	snowcapped	1	24	6	0.001848
426	so	4	5	1	0.007394
427	society	1	4	71	0.001848
428	solid	1	7	183	0.001848
429	some	3	12	6	0.005545
430	somehow	1	13	35	0.001848
431	something	1	9	4	0.001848
432	sons	2	16	15	0.003697
433	soul	1	10	42	0.001848
434	south	2	13	12	0.003697
435	speed	1	29	19	0.001848
436	spiritual	1	29	54	0.001848
437	spot	1	7	106	0.001848
438	staggered	1	12	49	0.001848
439	stand	3	3	13	0.005545
440	state	2	17	6	0.003697
441	stating	1	11	130	0.001848
442	steam	1	8	55	0.001848
443	still	4	4	9	0.007394
444	stone	2	21	33	0.003697
445	storms	1	12	45	0.001848
446	straight	1	20	27	0.001848
447	stream	1	11	184	0.001848
448	stripped	1	11	119	0.001848
449	struggle	2	10	6	0.003697
450	suffering	2	12	63	0.003697
451	summer	1	8	17	0.001848
452	sunlight	1	7	162	0.001848
453	sweet	1	22	28	0.001848
454	sweltering	3	8	16	0.005545
455	symbolic	1	3	10	0.001848
456	symphony	1	21	54	0.001848
457	table	1	16	34	0.001848
458	take	1	7	129	0.001848
459	tennessee	1	27	8	0.001848
460	thank	1	29	61	0.001848
461	that	24	6	51	0.044362
462	the	100	2	17	0.184843
463	thecolor	1	18	20	0.001848
464	thee	2	22	27	0.003697
465	their	8	3	57	0.014787
466	there	6	7	62	0.011091
467	these	1	15	24	0.001848
468	they	3	6	32	0.005545
469	thirst	1	9	48	0.001848
470	this	19	3	19	0.035120
471	those	2	8	45	0.003697
472	though	1	14	10	0.001848
473	threshold	1	9	17	0.001848
474	tied	1	10	86	0.001848
475	time	5	7	119	0.009242
476	to	58	2	4	0.107209
477	today	9	2	8	0.016636
478	togehter	1	21	72	0.001848
479	together	5	16	31	0.009242
480	toghther	1	20	43	0.001848
481	tomorrow	1	14	18	0.001848
482	tranquility	1	8	79	0.001848
483	tranquilizing	1	7	131	0.001848
484	transform	1	21	44	0.001848
485	transformed	1	17	26	0.001848
486	travel	1	11	71	0.001848
487	trials	1	12	15	0.001848
488	tribulations	1	12	17	0.001848
489	true	2	15	17	0.003697
490	truths	1	15	25	0.001848
491	turn	1	11	19	0.001848
492	unalienable	1	6	66	0.001848
493	unearned	1	12	71	0.001848
494	unmindful	1	12	4	0.001848
495	unspeakable	1	11	51	0.001848
496	until	4	8	26	0.007394
497	up	4	10	87	0.007394
498	upon	1	7	88	0.001848
499	urgency	2	7	113	0.003697
500	us	4	7	87	0.007394
501	usual	1	8	72	0.001848
502	valley	3	7	157	0.005545
503	vast	1	4	52	0.001848
504	vaults	1	7	69	0.001848
505	veterans	1	12	60	0.001848
506	vicious	1	19	13	0.001848
507	victim	1	11	48	0.001848
508	violence	1	10	26	0.001848
509	vote	2	11	146	0.003697
510	walk	2	10	108	0.003697
511	wallow	1	13	46	0.001848
512	warm	1	9	16	0.001848
513	was	2	6	42	0.003697
514	waters	1	11	178	0.001848
515	we	31	3	12	0.057301
516	we've	2	6	4	0.003697
517	well	1	6	58	0.001848
518	were	1	6	33	0.001848
519	what	1	2	10	0.001848
520	when	6	6	14	0.011091
521	where	3	12	35	0.005545
522	which	5	6	39	0.009242
523	whirlwinds	1	8	91	0.001848
524	white	4	6	60	0.007394
525	whites	1	11	132	0.001848
